['2014-01-02', '37.16']
['2014-01-03', '36.91']
['2014-01-06', '36.13']
['2014-01-07', '36.41']
['2014-01-08', '35.76']
['2014-01-09', '35.53']
['2014-01-10', '36.04']
['2014-01-13', '34.98']
['2014-01-14', '35.78']
['2014-01-15', '36.76']
['2014-01-16', '36.89']
['2014-01-17', '36.38']
['2014-01-21', '36.17']
['2014-01-22', '35.93']
['2014-01-23', '36.06']
['2014-01-24', '36.81']
['2014-01-27', '36.03']
['2014-01-28', '36.27']
['2014-01-29', '36.66']
['2014-01-30', '36.86']
['2014-01-31', '37.84']
['2014-02-03', '36.48']
['2014-02-04', '36.35']
['2014-02-05', '35.82']
['2014-02-06', '36.18']
['2014-02-07', '36.56']
['2014-02-10', '36.8']
['2014-02-11', '37.17']
['2014-02-12', '37.47']
['2014-02-13', '37.61']
['2014-02-14', '37.62']
['2014-02-18', '37.42']
['2014-02-19', '37.51']
['2014-02-20', '37.75']
['2014-02-21', '37.98']
['2014-02-24', '37.69']
['2014-02-25', '37.54']
['2014-02-26', '37.47']
['2014-02-27', '37.86']
['2014-02-28', '38.31']
['2014-03-03', '37.78']
['2014-03-04', '38.41']
['2014-03-05', '38.11']
['2014-03-06', '38.15']
['2014-03-07', '37.9']
['2014-03-10', '37.82']
['2014-03-11', '38.02']
['2014-03-12', '38.27']
['2014-03-13', '37.89']
['2014-03-14', '37.7']
['2014-03-17', '38.05']
['2014-03-18', '39.55']
['2014-03-19', '39.27']
['2014-03-20', '40.33']
['2014-03-21', '40.16']
['2014-03-24', '40.5']
['2014-03-25', '40.34']
['2014-03-26', '39.79']
['2014-03-27', '39.36']
['2014-03-28', '40.3']
['2014-03-31', '40.99']
['2014-04-01', '41.42']
['2014-04-02', '41.35']
['2014-04-03', '41.01']
['2014-04-04', '39.87']
['2014-04-07', '39.8']
['2014-04-08', '39.82']
['2014-04-09', '40.47']
['2014-04-10', '39.36']
['2014-04-11', '39.209']
['2014-04-14', '39.18']
['2014-04-15', '39.75']
['2014-04-16', '40.4']
['2014-04-17', '40.01']
['2014-04-21', '39.94']
['2014-04-22', '39.99']
['2014-04-23', '39.69']
['2014-04-24', '39.86']
['2014-04-25', '39.91']
['2014-04-28', '40.87']
['2014-04-29', '40.51']
['2014-04-30', '40.4']
['2014-05-01', '40.0']
['2014-05-02', '39.69']
['2014-05-05', '39.43']
['2014-05-06', '39.06']
['2014-05-07', '39.425']
['2014-05-08', '39.64']
['2014-05-09', '39.54']
['2014-05-12', '39.97']
['2014-05-13', '40.42']
['2014-05-14', '40.24']
['2014-05-15', '39.6']
['2014-05-16', '39.83']
['2014-05-19', '39.75']
['2014-05-20', '39.68']
['2014-05-21', '40.35']
['2014-05-22', '40.1']
['2014-05-23', '40.12']
['2014-05-27', '40.19']
['2014-05-28', '40.01']
['2014-05-29', '40.34']
['2014-05-30', '40.94']
['2014-06-02', '40.79']
['2014-06-03', '40.29']
['2014-06-04', '40.32']
['2014-06-05', '41.21']
['2014-06-06', '41.48']
['2014-06-09', '41.27']
['2014-06-10', '41.11']
['2014-06-11', '40.86']
['2014-06-12', '40.58']
['2014-06-13', '41.23']
['2014-06-16', '41.5']
['2014-06-17', '41.68']
['2014-06-18', '41.65']
['2014-06-19', '41.51']
['2014-06-20', '41.68']
['2014-06-23', '41.99']
['2014-06-24', '41.745']
['2014-06-25', '42.03']
['2014-06-26', '41.72']
['2014-06-27', '42.25']
['2014-06-30', '41.7']
['2014-07-01', '41.87']
['2014-07-02', '41.9']
['2014-07-03', '41.8']
['2014-07-07', '41.99']
['2014-07-08', '41.78']
['2014-07-09', '41.67']
['2014-07-10', '41.685']
['2014-07-11', '42.09']
['2014-07-14', '42.14']
['2014-07-15', '42.45']
['2014-07-16', '44.08']
['2014-07-17', '44.53']
['2014-07-18', '44.69']
['2014-07-21', '44.835']
['2014-07-22', '44.83']
['2014-07-23', '44.87']
['2014-07-24', '44.4']
['2014-07-25', '44.5']
['2014-07-28', '43.97']
['2014-07-29', '43.885']
['2014-07-30', '43.5785']
['2014-07-31', '43.16']
['2014-08-01', '42.86']
['2014-08-04', '43.37']
['2014-08-05', '43.08']
['2014-08-06', '42.74']
['2014-08-07', '43.23']
['2014-08-08', '43.2']
['2014-08-11', '43.2']
['2014-08-12', '43.52']
['2014-08-13', '44.08']
['2014-08-14', '44.27']
['2014-08-15', '44.79']
['2014-08-18', '45.11']
['2014-08-19', '45.33']
['2014-08-20', '44.95']
['2014-08-21', '45.22']
['2014-08-22', '45.15']
['2014-08-25', '45.17']
['2014-08-26', '45.005']
['2014-08-27', '44.87']
['2014-08-28', '44.88']
['2014-08-29', '45.43']
['2014-09-02', '45.09']
['2014-09-03', '44.96']
['2014-09-04', '45.26']
['2014-09-05', '45.91']
['2014-09-08', '46.47']
['2014-09-09', '46.76']
['2014-09-10', '46.84']
['2014-09-11', '47.0']
['2014-09-12', '46.695']
['2014-09-15', '46.24']
['2014-09-16', '46.76']
['2014-09-17', '46.52']
['2014-09-18', '46.68']
['2014-09-19', '47.52']
['2014-09-22', '47.06']
['2014-09-23', '46.56']
['2014-09-24', '47.08']
['2014-09-25', '46.04']
['2014-09-26', '46.41']
['2014-09-29', '46.44']
['2014-09-30', '46.36']
['2014-10-01', '45.9']
['2014-10-02', '45.76']
['2014-10-03', '46.09']
['2014-10-06', '46.09']
['2014-10-07', '45.53']
['2014-10-08', '46.78']
['2014-10-09', '45.85']
['2014-10-10', '44.03']
['2014-10-13', '43.65']
['2014-10-14', '43.73']
['2014-10-15', '43.22']
['2014-10-16', '42.74']
['2014-10-17', '43.63']
['2014-10-20', '44.08']
['2014-10-21', '44.88']
['2014-10-22', '44.38']
['2014-10-23', '45.02']
['2014-10-24', '46.13']
['2014-10-27', '45.91']
['2014-10-28', '46.49']
['2014-10-29', '46.62']
['2014-10-30', '46.05']
['2014-10-31', '46.95']
['2014-11-03', '47.44']
['2014-11-04', '47.57']
['2014-11-06', '48.7']
['2014-11-07', '48.68']
['2014-11-10', '48.89']
['2014-11-11', '48.87']
['2014-11-12', '48.78']
['2014-11-13', '49.61']
['2014-11-14', '49.58']
['2014-11-17', '49.46']
['2014-11-18', '48.74']
['2014-11-19', '48.22']
['2014-11-20', '48.7']
['2014-11-21', '47.98']
['2014-11-24', '47.59']
['2014-11-25', '47.47']
['2014-11-26', '47.75']
['2014-11-28', '47.81']
['2014-12-01', '48.62']
['2014-12-02', '48.46']
['2014-12-04', '48.84']
['2014-12-05', '48.42']
['2014-12-09', '47.59']
['2014-12-10', '46.9']
['2014-12-11', '47.17']
['2014-12-15', '46.67']
['2014-12-16', '45.16']
['2014-12-17', '45.74']
['2014-12-18', '47.52']
['2014-12-19', '47.66']
['2014-12-22', '47.98']
['2014-12-23', '48.45']
['2014-12-24', '48.14']
['2014-12-26', '47.88']
['2014-12-30', '47.02']
['2014-12-31', '46.45']
